,11HH(MARY MAGDALENE),11H(JOHN THE BAPTIST),11H(JEROME),11HH(CATHERINE),11H(PETER),11H(ANTONY ABBOT),11H(JOHN),11H(JOSEPH),11H(FRANCIS),11H(SEBASTIAN)
11HH(MARY MAGDALENE),79,2,122,0,6,0,0,0,0,3
11H(JOHN THE BAPTIST),95,0,24,0,3,0,0,0,0,1
11H(JEROME),40,0,31,0,1,0,0,0,0,3
11HH(CATHERINE),43,0,26,0,3,0,0,0,0,2
11H(PETER),42,0,14,0,1,0,0,0,1,2
11H(ANTONY ABBOT),16,0,19,0,1,0,0,0,0,2
11H(JOHN),20,0,12,0,2,0,0,0,1,1
11H(JOSEPH),21,0,10,0,1,0,0,0,1,1
11H(FRANCIS),15,0,12,0,1,0,0,0,1,0
11H(SEBASTIAN),24,0,3,0,3,0,0,0,0,0
