class_name,# of Images,Precision,Recall,F1 Score,Average Precision
11H(PAUL),26,47.37%,34.62%,40.00%,55.50%
11HH(MARY MAGDALENE),25,60.87%,56.00%,58.33%,70.74%
11H(JEROME),26,57.14%,61.54%,59.26%,68.27%
11H(JOHN),19,30.77%,42.11%,35.56%,28.97%
11H(ANTONY ABBOT),17,43.75%,41.18%,42.42%,49.44%
11H(PETER),14,31.25%,35.71%,33.33%,35.24%
11H(MATTHEW),14,31.58%,42.86%,36.36%,21.96%
11HH(CATHERINE),13,37.50%,23.08%,28.57%,32.43%
11H(LUKE),10,11.11%,10.00%,10.53%,13.57%
11H(FRANCIS),9,11.11%,11.11%,11.11%,14.20%
Macro,-,36.25%,35.82%,35.55%,39.03%
Micro,-,40.46%,40.46%,40.46%,42.80%
