class_name,# of Images,Precision,Recall,F1 Score,Average Precision
11HH(MARY MAGDALENE),43,61.11%,51.16%,55.70%,65.27%
11H(JOHN THE BAPTIST),23,35.14%,56.52%,43.33%,54.48%
11H(JEROME),16,58.82%,62.50%,60.61%,69.05%
11HH(CATHERINE),15,21.43%,20.00%,20.69%,24.08%
11H(PETER),12,35.71%,41.67%,38.46%,47.39%
11H(ANTONY ABBOT),7,42.86%,42.86%,42.86%,54.16%
11H(JOHN),7,25.00%,28.57%,26.67%,19.92%
11H(JOSEPH),7,33.33%,14.29%,20.00%,15.23%
11H(FRANCIS),6,50.00%,16.67%,25.00%,36.87%
11H(SEBASTIAN),5,66.67%,40.00%,50.00%,61.06%
Macro,-,43.01%,37.42%,38.33%,44.75%
Micro,-,43.97%,43.97%,43.97%,49.97%
