index,ID,ICONCLASS ID,Description,Label
Saint_Sebastien,Saint_Sebastien,11H(SEBASTIAN),"The Martyr Sebastian; Possible Attributes: Arrow(s), Bow, Tree-Trunk",Saint Sebastien
turban,turban,41D221(TURBAN),Head-Gear: Turban,Turban
crucifixion_of_Jesus,crucifixion_of_Jesus,11D356,Christ Crucified On A 'Living' Cross,Crucifixion Of Jesus
angel,angel,11G,Angels,Angel
capital,capital,48C1612,"Capital (~ Column, Pillar)",Capital
Mary,Mary,11F,The Virgin Mary,Mary
beard,beard,31A534,Beard,Beard
Child_Jesus,Child_Jesus,11D2,Christ As Child Or Youth (In General) ~ Christian Religion,Child Jesus
nudity,nudity,31A,The (Nude) Human Figure; 'Corpo Humano' (Ripa),Nudity
ruins,ruins,48C149,Ruin Of A Building ~ Architecture,Ruins
