pair,old_model,new_model,test,old_consistency,new_consistency,delta,old_both_correct,new_both_correct,delta_correct
GPT-4o Mini → GPT-5 Mini,GPT-4o Mini,GPT-5 Mini,test_1,88.88888888888889,93.33333333333333,4.444444444444443,86.66666666666667,91.11111111111111,4.444444444444443
GPT-4o Mini → GPT-5 Mini,GPT-4o Mini,GPT-5 Mini,test_2,88.88888888888889,91.11111111111111,2.2222222222222285,86.66666666666667,91.11111111111111,4.444444444444443
GPT-4o Mini → GPT-5 Mini,GPT-4o Mini,GPT-5 Mini,test_3,82.22222222222221,93.33333333333333,11.111111111111114,82.22222222222221,93.33333333333333,11.111111111111114
GPT-4o → GPT-5.2,GPT-4o,GPT-5.2,test_1,93.33333333333333,84.44444444444444,-8.888888888888886,91.11111111111111,84.44444444444444,-6.666666666666671
GPT-4o → GPT-5.2,GPT-4o,GPT-5.2,test_2,40.909090909090914,88.88888888888889,47.97979797979797,40.909090909090914,86.66666666666667,45.75757575757576
GPT-4o → GPT-5.2,GPT-4o,GPT-5.2,test_3,43.18181818181818,93.33333333333333,50.15151515151515,43.18181818181818,91.11111111111111,47.929292929292934
Gem2.5 Flash → Gem3 Flash,Gem2.5 Flash,Gem3 Flash,test_1,43.18181818181818,86.66666666666667,43.48484848484849,43.18181818181818,86.66666666666667,43.48484848484849
Gem2.5 Flash → Gem3 Flash,Gem2.5 Flash,Gem3 Flash,test_2,45.45454545454545,97.77777777777777,52.32323232323232,45.45454545454545,97.77777777777777,52.32323232323232
Gem2.5 Flash → Gem3 Flash,Gem2.5 Flash,Gem3 Flash,test_3,43.18181818181818,79.54545454545455,36.36363636363637,43.18181818181818,79.54545454545455,36.36363636363637
Gem2.5 Pro → Gem3.1 Pro,Gem2.5 Pro,Gem3.1 Pro,test_1,40.909090909090914,100.0,59.090909090909086,40.909090909090914,100.0,59.090909090909086
Gem2.5 Pro → Gem3.1 Pro,Gem2.5 Pro,Gem3.1 Pro,test_2,43.18181818181818,91.11111111111111,47.929292929292934,43.18181818181818,91.11111111111111,47.929292929292934
Gem2.5 Pro → Gem3.1 Pro,Gem2.5 Pro,Gem3.1 Pro,test_3,38.63636363636363,100.0,61.36363636363637,38.63636363636363,100.0,61.36363636363637
