painting,image,iconclass
http://www.wikidata.org/entity/Q121503728,http://commons.wikimedia.org/wiki/Special:FilePath/Joos%20van%20Cleve%20and%20studio%20of%20Joos%20van%20Cleve%20-%20De%20H.%20Maria%20Magdalena%2C%20ca.%201530%2C%2042391.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q121503732,http://commons.wikimedia.org/wiki/Special:FilePath/Cleve%20-%20De%20H.%20Maria%20Magdalena%2C%20ca.%201530%2C%2042392.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q121504507,http://commons.wikimedia.org/wiki/Special:FilePath/Isenbrandt%20-%20Sainte%20Madeleine%20lisant%2C%202618.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q121511177,http://commons.wikimedia.org/wiki/Special:FilePath/Ambrosius%20Benson%20-%20Mary%20Magdalene%20holding%20an%20ointment%20jar%2C%20Lot%205.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q117228889,http://commons.wikimedia.org/wiki/Special:FilePath/Adam%20Camerarius%20-%20Treurende%20vrouw%20-%20Maria%20Magdalena%20-%20RH.S.185%20-%20Rubenshuis.tiff,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q117244004,http://commons.wikimedia.org/wiki/Special:FilePath/A%20young%20lady%20playing%20a%20lute%2C%20by%20the%20Master%20of%20the%20Female%20Half-lengths%202.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q118943948,http://commons.wikimedia.org/wiki/Special:FilePath/Anthony%20van%20Dyck%20-%20Mary%20Magdalene%20with%20a%20skull%2C%20looking%20down.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q121462176,http://commons.wikimedia.org/wiki/Special:FilePath/Free%20after%20Joos%20van%20Cleve%20-%20De%20H.%20Maria%20Magdalena%20met%20zalfpot%2C%20eerste%20helft%2016de%20eeuw%2C%2031336.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q17325193,http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Cornelisz.%20van%20Oostsanen%20-%20De%20kruisiging%20-%20SK-A-1967%20-%20Rijksmuseum.jpg,11HH(VERONICA)
http://www.wikidata.org/entity/Q20174056,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Memling%20-%20St%20John%20and%20Veronica%20Diptych%20%28right%20wing%29%20-%20WGA14926.jpg,11HH(VERONICA)
http://www.wikidata.org/entity/Q26692131,http://commons.wikimedia.org/wiki/Special:FilePath/Meester%20van%20de%20Heilige%20Veronica%20-%20Heilige%20Veronica%20met%20het%20Sudarium%20-%20NG687%20-%20National%20Gallery.jpg,11HH(VERONICA)
http://www.wikidata.org/entity/Q64787130,http://commons.wikimedia.org/wiki/Special:FilePath/803-joos%20van%20cleve-triptychon%20mit%20der%20beweinung%20christi-1524.png,11HH(VERONICA)
http://www.wikidata.org/entity/Q64800045,http://commons.wikimedia.org/wiki/Special:FilePath/Crucifixion%20Altarpiece%2C%20so-called%20St.%20Peter%E2%80%99s%20Church%20Altarpiece%20%28SM%20hm1-5%29.png,11HH(VERONICA)
http://www.wikidata.org/entity/Q64873778,http://commons.wikimedia.org/wiki/Special:FilePath/803b-joos%20van%20cleve-veronika%20mit%20dem%20schweisstuch-1524.png,11HH(VERONICA)
http://www.wikidata.org/entity/Q121503366,http://commons.wikimedia.org/wiki/Special:FilePath/Friedl%C3%A4nder%20-%20Early%20Netherlandish%20Painting%2C%20vol.%209%2C%20pl.%20031-3.jpg,11HH(VERONICA)
http://www.wikidata.org/entity/Q121505196,http://commons.wikimedia.org/wiki/Special:FilePath/Sainte%20V%C3%A9ronique%20et%20le%20voile%20-%20Mus%C3%A9e%20Groeninge.jpg,11HH(VERONICA)
http://www.wikidata.org/entity/Q121503521,http://commons.wikimedia.org/wiki/Special:FilePath/Provost%20-%20Saint%20Jean%20Baptiste%20et%20un%20chanoine%20donateur%20-%20avec%20cadre.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q121503726,http://commons.wikimedia.org/wiki/Special:FilePath/Cleve%20-%20The%20wing%20of%20an%20altarpiece%20Saint%20John%20the%20Baptist%2C%20lot-1321659.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q121697332,http://commons.wikimedia.org/wiki/Special:FilePath/Anthonie%20Blocklandt%20van%20Montfoort%20-%20outer%20doors%20Pentecost%20triptych.jpeg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q121697573,http://commons.wikimedia.org/wiki/Special:FilePath/Toegeschreven%20aan%20Matthias%20Stom%20naar%20Caravaggio%20-%20Johannes%20de%20Doper%20als%20jongeling%20in%20de%20wildernis%20-%2018%20-%20Exton%20Hall.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q17330005,http://commons.wikimedia.org/wiki/Special:FilePath/Kruisiging%20met%20de%20heiligen%20Cosmas%20en%20Damianus%20Rijksmuseum%20SK-A-2553.jpeg,11H(COSMAS & DAMIAN)
http://www.wikidata.org/entity/Q17335867,http://commons.wikimedia.org/wiki/Special:FilePath/De%20heilige%20Damianus%20%28of%20Cosmas%29%20Rijksmuseum%20SK-A-4012.jpeg,11H(COSMAS & DAMIAN)
http://www.wikidata.org/entity/Q17338807,http://commons.wikimedia.org/wiki/Special:FilePath/De%20heilige%20Cosmas%20%28of%20Damianus%29%20Rijksmuseum%20SK-A-4235.jpeg,11H(COSMAS & DAMIAN)
http://www.wikidata.org/entity/Q27481413,http://commons.wikimedia.org/wiki/Special:FilePath/BlondeelComeDamien.jpg,11H(COSMAS & DAMIAN)
http://www.wikidata.org/entity/Q568847,http://commons.wikimedia.org/wiki/Special:FilePath/El%20Descendimiento%2C%20by%20Rogier%20van%20der%20Weyden%2C%20from%20Prado%20in%20Google%20Earth.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q686107,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Bruegel%20d.%20%C3%84.%20007b.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q2500226,http://commons.wikimedia.org/wiki/Special:FilePath/Raffaello%2C%20pala%20baglioni%2C%20deposizione.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q2529591,http://commons.wikimedia.org/wiki/Special:FilePath/Beato%20angelico%2C%20pala%20strozzi%20della%20deposizione%2C%20con%20cuspidi%20e%20predella%20di%20lorenzo%20monaco%2C%2001.JPG,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q3005527,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%20-%20Mystic%20crucifixion.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q3463923,http://commons.wikimedia.org/wiki/Special:FilePath/Pietro%20Perugino%20cat87i.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q3708025,http://commons.wikimedia.org/wiki/Special:FilePath/Fra%20bartolomeo%2C%20dio%20padre%20lucca.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q3842302,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Magdalena%20penitente%20%28Luca%20Giordano%29.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q3842551,http://commons.wikimedia.org/wiki/Special:FilePath/Cima%20da%20conegliano%2C%20madonna%20in%20trono%20con%20santi%2C%20louvre.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q3847397,http://commons.wikimedia.org/wiki/Special:FilePath/Correggio%2C%20maria%20maddalena.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q3949115,http://commons.wikimedia.org/wiki/Special:FilePath/Carlo%20Crivelli%20-%20Maria%20Magdalena%20-%20NK3122%20-%20Rijksmuseum.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q4448822,http://commons.wikimedia.org/wiki/Special:FilePath/Titian%20%28Tiziano%20Vecellio%29%2C%20between%201485%20and%201490-1576%20-%20Repentant%20Mary%20Magdalene%20-%20%D0%93%D0%AD-117%20-%20Hermitage%20Museum.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q6004260,http://commons.wikimedia.org/wiki/Special:FilePath/Jos%C3%A9%20de%20Ribera%20024.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q7759351,http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20Harmensz.%20van%20Rijn%20-%20The%20Raising%20of%20Lazarus%20-%20Google%20Art%20Project.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q16589363,http://commons.wikimedia.org/wiki/Special:FilePath/El%20Greco%20-%20Penitent%20Magdalen%20-%20WGA10580.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q17276072,http://commons.wikimedia.org/wiki/Special:FilePath/Drieluik%20met%20Maria%20en%20kind%2C%20Johannes%20de%20Evangelist%20%28linker%20luik%29%20en%20Maria%20Magdalena%20%28rechter%20luik%29%20Rijksmuseum%20SK-A-2570.jpeg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q17319790,http://commons.wikimedia.org/wiki/Special:FilePath/De%20boetvaardige%20Maria%20Magdalena%20Rijksmuseum%20SK-A-103.jpeg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q17320369,http://commons.wikimedia.org/wiki/Special:FilePath/Maria%20Magdalena%20Rijksmuseum%20SK-A-372.jpeg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q17321354,http://commons.wikimedia.org/wiki/Special:FilePath/De%20heilige%20familie%20met%20Maria%20Magdalena%20Rijksmuseum%20SK-A-597.jpeg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q17322914,http://commons.wikimedia.org/wiki/Special:FilePath/De%20boetvaardige%20Maria%20Magdalena.%20Rijksmuseum%20SK-A-782.jpeg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q17328099,http://commons.wikimedia.org/wiki/Special:FilePath/Lawrence%20Alma%20Tadema%20001.jpg,11HH(MARY MAGDALENE)
