painting,image,iconclass
http://www.wikidata.org/entity/Q121462176,http://commons.wikimedia.org/wiki/Special:FilePath/Free%20after%20Joos%20van%20Cleve%20-%20De%20H.%20Maria%20Magdalena%20met%20zalfpot%2C%20eerste%20helft%2016de%20eeuw%2C%2031336.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q121503728,http://commons.wikimedia.org/wiki/Special:FilePath/Joos%20van%20Cleve%20and%20studio%20of%20Joos%20van%20Cleve%20-%20De%20H.%20Maria%20Magdalena%2C%20ca.%201530%2C%2042391.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q121503732,http://commons.wikimedia.org/wiki/Special:FilePath/Cleve%20-%20De%20H.%20Maria%20Magdalena%2C%20ca.%201530%2C%2042392.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q121504507,http://commons.wikimedia.org/wiki/Special:FilePath/Isenbrandt%20-%20Sainte%20Madeleine%20lisant%2C%202618.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q121511177,http://commons.wikimedia.org/wiki/Special:FilePath/Ambrosius%20Benson%20-%20Mary%20Magdalene%20holding%20an%20ointment%20jar%2C%20Lot%205.jpg,11HH(MARY MAGDALENE)
http://www.wikidata.org/entity/Q23898,http://commons.wikimedia.org/wiki/Special:FilePath/Gerard%20David%20Tryptique%20de%20la%20famille%20Sedano%20Bruges%201523.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q429752,http://commons.wikimedia.org/wiki/Special:FilePath/Rosso%20Fiorentino%20-%20Madonna%20Enthroned%20between%20Two%20Saints%20-%20WGA20121.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q2453980,http://commons.wikimedia.org/wiki/Special:FilePath/Hieronymus%20Bosch%20-%20Saint%20John%20the%20Baptist%20in%20the%20Desert%20-%20Google%20Art%20Project.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q2500226,http://commons.wikimedia.org/wiki/Special:FilePath/Raffaello%2C%20pala%20baglioni%2C%20deposizione.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q2610709,http://commons.wikimedia.org/wiki/Special:FilePath/Madonna%20di%20Foligno%20%28Raphael%29%20September%202015-1a.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q3223625,http://commons.wikimedia.org/wiki/Special:FilePath/Michelangelo%20Merisi%20da%20Caravaggio%2C%20Saint%20John%20the%20Baptist%20%28Youth%20with%20a%20Ram%29%20%28c.%201602%29.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q3276176,http://commons.wikimedia.org/wiki/Special:FilePath/Rogier%20van%20der%20Weyden%20021.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q3605521,http://commons.wikimedia.org/wiki/Special:FilePath/Bram0.5.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q3620828,http://commons.wikimedia.org/wiki/Special:FilePath/Dosso%20Dossi%20034.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q3842551,http://commons.wikimedia.org/wiki/Special:FilePath/Cima%20da%20conegliano%2C%20madonna%20in%20trono%20con%20santi%2C%20louvre.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q3907503,http://commons.wikimedia.org/wiki/Special:FilePath/Carlo%20Crivelli%20023.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q3907511,http://commons.wikimedia.org/wiki/Special:FilePath/Polittico%20di%20Ponteranica%2000.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q3947241,http://commons.wikimedia.org/wiki/Special:FilePath/Filippino%20lippi%2C%20san%20giovanni%20battista%2C%20accademia.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q3947242,http://commons.wikimedia.org/wiki/Special:FilePath/Francesco%20del%20Cossa%20020.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q3947281,http://commons.wikimedia.org/wiki/Special:FilePath/Andrea%20del%20Sarto%20-%20St.%20John%20the%20Baptist%2C%20c.%201523%2C%20Palatina%2C%20n%C2%B0%20272.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q3947283,http://commons.wikimedia.org/wiki/Special:FilePath/Rosso%20fiorentino%2C%20san%20giovannino%2C%20collezione%20privata%20firenze.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q3949348,http://commons.wikimedia.org/wiki/Special:FilePath/Domenico%20veneziano%2C%20St%20John%20the%20Baptist%20and%20St%20Francis.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q11838644,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Juan%20Bautista%20El%20Greco.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q11947108,http://commons.wikimedia.org/wiki/Special:FilePath/JoanAntigo-StJoanStEsteve-6599.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q17100585,http://commons.wikimedia.org/wiki/Special:FilePath/Bicci%20di%20Lorenzo%20-%20San%20Giovanni%20Battista%20e%20San%20Miniato%20%28San%20Francisco%29.jpg,11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q17276072,http://commons.wikimedia.org/wiki/Special:FilePath/Drieluik%20met%20Maria%20en%20kind%2C%20Johannes%20de%20Evangelist%20%28linker%20luik%29%20en%20Maria%20Magdalena%20%28rechter%20luik%29%20Rijksmuseum%20SK-A-2570.jpeg,11H(JOHN THE BAPTIST)
